Institution,Score Rank In IUT 2026,Score Rank In SUST 2026,Score Rank In DUET 2026,Score Rank In NSU 2026,Score Rank In NDUB 2026,Score Rank In BUET 2026,Score Rank In ICPC 2025,Score Rank In CUET 2025,Score Rank In MU 2025,Score Rank In UU 2025,Score Rank In DUET 2025,Score Rank In AUST 2025,Score Rank In UIU 2025,Score Rank In KUET 2025,Score Rank In ICPC 2024,Score Rank In BUET 2024,Score Rank In IUT 2024,Score Rank In NCPC 2024,Score Rank In SUST 2024,Score Rank In CUET 2024
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1,1,1,1,3,1,1,1,1,1,1,1,5,1,4,9,8,3,2,3
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,2,12,14,24,20,21,18,10,17,15,17,15,10,18,21,6,16,10,12,8
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,3,3,6,2,2,5,4,5,3,16,8,4,6,8,3,7,6,8,30,10
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,4,2,2,10,5,2,3,3,2,2,3,3,2,4,1,1,1,1,1,1
UNIVERSITY OF DHAKA,5,10,7,5,9,3,2,7,12,8,6,2,1,2,2,2,3,2,5,13
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,6,16,18,17,31,18,13,9,7,20,20,14,19,30,46,21,47,19,34,
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,7,8,4,30,12,11,8,16,25,10,9,5,11,12,19,22,4,11,16,12
ISLAMIC UNIVERSITY OF TECHNOLOGY,8,9,3,7,4,8,6,2,6,6,4,7,7,14,6,10,9,6,6,6
GREEN UNIVERSITY OF BANGLADESH,9,13,9,9,16,10,39,6,9,31,40,25,34,22,33,16,35,44,25,45
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,10,14,12,11,27,13,14,8,23,19,16,26,22,27,59,30,13,15,10,7
JAHANGIRNAGAR UNIVERSITY,11,28,16,6,26,15,5,,10,17,13,6,9,7,8,8,7,5,9,15
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,12,20,22,18,21,28,30,14,18,34,24,,,28,28,24,23,46,44,28
DAFFODIL INTERNATIONAL UNIVERSITY,13,15,19,14,25,9,12,4,5,18,15,16,14,10,10,15,21,31,23,34
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,14,7,15,39,6,6,20,21,24,43,14,,,24,13,23,14,13,8,17
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,15,6,8,22,17,4,11,22,16,4,23,12,3,9,9,3,15,4,4,24
UNIVERSITY OF BARISAL,16,21,33,33,32,16,37,28,,9,44,40,,38,23,46,,35,11,36
EAST WEST UNIVERSITY,17,18,27,21,19,29,24,25,27,5,5,23,13,15,17,5,18,21,15,5
COMILLA UNIVERSITY,18,17,28,16,14,25,7,11,14,23,10,19,12,6,5,11,5,12,7,22
UNIVERSITY OF RAJSHAHI,19,5,5,3,11,23,23,15,13,11,7,11,20,19,14,18,11,9,18,4
BRAC UNIVERSITY,20,4,11,4,7,7,9,12,4,3,2,8,4,3,7,12,2,7,3,2
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,21,45,53,23,36,52,52,,33,41,37,33,,,75,41,38,55,,48
KHULNA UNIVERSITY,22,22,,,1,22,26,26,,21,22,20,16,11,11,14,10,23,,
NORTH SOUTH UNIVERSITY,23,19,10,8,8,17,16,13,,13,11,9,8,17,30,20,29,14,13,14
